PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.Completeness	[1] AST_260331_115.raw.PG.NrOfStrippedSequencesUsedForQuantification	[2] AST_260331_116.raw.PG.NrOfStrippedSequencesUsedForQuantification	[3] AST_260331_117.raw.PG.NrOfStrippedSequencesUsedForQuantification	[4] AST_260331_118.raw.PG.NrOfStrippedSequencesUsedForQuantification	[5] AST_260331_119.raw.PG.NrOfStrippedSequencesUsedForQuantification	[6] AST_260331_120.raw.PG.NrOfStrippedSequencesUsedForQuantification	[7] AST_260331_121.raw.PG.NrOfStrippedSequencesUsedForQuantification	[8] AST_260331_125.raw.PG.NrOfStrippedSequencesUsedForQuantification	[9] AST_260331_126.raw.PG.NrOfStrippedSequencesUsedForQuantification	[10] AST_260331_127.raw.PG.NrOfStrippedSequencesUsedForQuantification	[11] AST_260331_128.raw.PG.NrOfStrippedSequencesUsedForQuantification	[12] AST_260331_129.raw.PG.NrOfStrippedSequencesUsedForQuantification	[13] AST_260331_130.raw.PG.NrOfStrippedSequencesUsedForQuantification	[14] AST_260331_131.raw.PG.NrOfStrippedSequencesUsedForQuantification	[15] AST_260331_134.raw.PG.NrOfStrippedSequencesUsedForQuantification	[16] AST_260331_135.raw.PG.NrOfStrippedSequencesUsedForQuantification	[17] AST_260331_136.raw.PG.NrOfStrippedSequencesUsedForQuantification	[18] AST_260331_137.raw.PG.NrOfStrippedSequencesUsedForQuantification	[19] AST_260331_138.raw.PG.NrOfStrippedSequencesUsedForQuantification	[20] AST_260331_139.raw.PG.NrOfStrippedSequencesUsedForQuantification	[21] AST_260331_140.raw.PG.NrOfStrippedSequencesUsedForQuantification	[22] AST_260331_142.raw.PG.NrOfStrippedSequencesUsedForQuantification	[23] AST_260331_143.raw.PG.NrOfStrippedSequencesUsedForQuantification	[24] AST_260331_144.raw.PG.NrOfStrippedSequencesUsedForQuantification	[25] AST_260331_148.raw.PG.NrOfStrippedSequencesUsedForQuantification	[26] AST_260331_149.raw.PG.NrOfStrippedSequencesUsedForQuantification	[27] AST_260331_152.raw.PG.NrOfStrippedSequencesUsedForQuantification	[28] AST_260331_153.raw.PG.NrOfStrippedSequencesUsedForQuantification	[29] AST_260331_157.raw.PG.NrOfStrippedSequencesUsedForQuantification	[30] AST_260331_158.raw.PG.NrOfStrippedSequencesUsedForQuantification	[31] AST_260331_161.raw.PG.NrOfStrippedSequencesUsedForQuantification	[32] AST_260331_162.raw.PG.NrOfStrippedSequencesUsedForQuantification	[33] AST_260331_163.raw.PG.NrOfStrippedSequencesUsedForQuantification	[34] AST_260331_164.raw.PG.NrOfStrippedSequencesUsedForQuantification	[35] AST_260331_165.raw.PG.NrOfStrippedSequencesUsedForQuantification	[36] AST_260331_166.raw.PG.NrOfStrippedSequencesUsedForQuantification	[37] AST_260331_167.raw.PG.NrOfStrippedSequencesUsedForQuantification	[38] AST_260407_008.raw.PG.NrOfStrippedSequencesUsedForQuantification	[39] AST_260407_009.raw.PG.NrOfStrippedSequencesUsedForQuantification	[40] AST_260407_010.raw.PG.NrOfStrippedSequencesUsedForQuantification	[41] AST_260407_011.raw.PG.NrOfStrippedSequencesUsedForQuantification	[42] AST_260407_012.raw.PG.NrOfStrippedSequencesUsedForQuantification	[43] AST_260407_014.raw.PG.NrOfStrippedSequencesUsedForQuantification	[44] AST_260407_015.raw.PG.NrOfStrippedSequencesUsedForQuantification	[45] AST_260407_016.raw.PG.NrOfStrippedSequencesUsedForQuantification	[46] AST_260407_017.raw.PG.NrOfStrippedSequencesUsedForQuantification	[47] AST_260407_018.raw.PG.NrOfStrippedSequencesUsedForQuantification	[48] AST_260407_019.raw.PG.NrOfStrippedSequencesUsedForQuantification	[1] AST_260331_115.raw.PG.MS2Quantity	[2] AST_260331_116.raw.PG.MS2Quantity	[3] AST_260331_117.raw.PG.MS2Quantity	[4] AST_260331_118.raw.PG.MS2Quantity	[5] AST_260331_119.raw.PG.MS2Quantity	[6] AST_260331_120.raw.PG.MS2Quantity	[7] AST_260331_121.raw.PG.MS2Quantity	[8] AST_260331_125.raw.PG.MS2Quantity	[9] AST_260331_126.raw.PG.MS2Quantity	[10] AST_260331_127.raw.PG.MS2Quantity	[11] AST_260331_128.raw.PG.MS2Quantity	[12] AST_260331_129.raw.PG.MS2Quantity	[13] AST_260331_130.raw.PG.MS2Quantity	[14] AST_260331_131.raw.PG.MS2Quantity	[15] AST_260331_134.raw.PG.MS2Quantity	[16] AST_260331_135.raw.PG.MS2Quantity	[17] AST_260331_136.raw.PG.MS2Quantity	[18] AST_260331_137.raw.PG.MS2Quantity	[19] AST_260331_138.raw.PG.MS2Quantity	[20] AST_260331_139.raw.PG.MS2Quantity	[21] AST_260331_140.raw.PG.MS2Quantity	[22] AST_260331_142.raw.PG.MS2Quantity	[23] AST_260331_143.raw.PG.MS2Quantity	[24] AST_260331_144.raw.PG.MS2Quantity	[25] AST_260331_148.raw.PG.MS2Quantity	[26] AST_260331_149.raw.PG.MS2Quantity	[27] AST_260331_152.raw.PG.MS2Quantity	[28] AST_260331_153.raw.PG.MS2Quantity	[29] AST_260331_157.raw.PG.MS2Quantity	[30] AST_260331_158.raw.PG.MS2Quantity	[31] AST_260331_161.raw.PG.MS2Quantity	[32] AST_260331_162.raw.PG.MS2Quantity	[33] AST_260331_163.raw.PG.MS2Quantity	[34] AST_260331_164.raw.PG.MS2Quantity	[35] AST_260331_165.raw.PG.MS2Quantity	[36] AST_260331_166.raw.PG.MS2Quantity	[37] AST_260331_167.raw.PG.MS2Quantity	[38] AST_260407_008.raw.PG.MS2Quantity	[39] AST_260407_009.raw.PG.MS2Quantity	[40] AST_260407_010.raw.PG.MS2Quantity	[41] AST_260407_011.raw.PG.MS2Quantity	[42] AST_260407_012.raw.PG.MS2Quantity	[43] AST_260407_014.raw.PG.MS2Quantity	[44] AST_260407_015.raw.PG.MS2Quantity	[45] AST_260407_016.raw.PG.MS2Quantity	[46] AST_260407_017.raw.PG.MS2Quantity	[47] AST_260407_018.raw.PG.MS2Quantity	[48] AST_260407_019.raw.PG.MS2Quantity
7902.19	A5Z2X5	YPR010C-A	UPF0495 protein YPR010C-A	4	cytoplasm,mitochondrial inner membrane,cytosol,membrane	negative regulation of protein complex assembly	molecular_function	100	4	3	3	3	3	4	3	3	3	2	3	3	3	2	3	3	2	3	3	4	3	3	3	2	2	3	2	4	2	2	3	3	3	3	3	2	3	4	3	4	4	4	3	2	2	2	4	2	50297.1953125	59229.109375	34277.6484375	46098.45703125	64911.9375	61692.171875	59259.69140625	55867.84765625	35599.33203125	39597.16796875	65042.4765625	63556.83203125	62177.8515625	57638.19140625	69371.2890625	39189.9609375	34351.69921875	61556.109375	55526.8125	62863.03515625	54638.6484375	93493.1015625	120969.4296875	98964.515625	163649.890625	125391.546875	154583.25	98041.1171875	167407.921875	144586.859375	120872.0390625	110059.2578125	70734.515625	128540.5546875	103293.734375	156618.703125	116087.25	51985.55859375	73629.1484375	45825.62890625	89955.875	106998.8984375	110691.265625	97619.953125	138399.125	148987.453125	46504.70703125	152043.265625
47848.7	D6VTK4	STE2	Pheromone alpha factor receptor	8	plasma membrane,membrane,G-protein coupled receptor homodimeric complex	pheromone-dependent signal transduction involved in conjugation with cellular fusion,cytogamy,G-protein coupled receptor signaling pathway	mating-type factor pheromone receptor activity,mating-type alpha-factor pheromone receptor activity,protein binding	95.8	5	4	5	5	6	5	5	4	5	5	5	5	5	7	3	5	5	5	5	5	5	5	3	5	2	5	4	4	3	6	4	4	5	1	0	2	5	5	3	5	5	5	2	4	3	0	5	2	1105.5233154296875	1059.3267822265625	1228.498291015625	1653.040283203125	2002.2935791015625	1679.49462890625	1580.89453125	963.1109619140625	1148.5203857421875	1662.42626953125	1658.01220703125	1570.3651123046875	1548.34228515625	2236.86376953125	1138.821044921875	1134.978271484375	1614.753662109375	1806.354248046875	1674.7769775390625	1495.8643798828125	1718.999755859375	2153.851318359375	919.5604248046875	2498.2109375	420.0833740234375	1707.590576171875	843.6312866210938	2217.466552734375	370.99493408203125	1911.2576904296875	799.37060546875	778.8825073242188	1701.6463623046875	299.4151916503906	NaN	271.5245361328125	1913.90673828125	1328.455322265625	952.64013671875	1457.94384765625	1733.909423828125	2333.654541015625	283.5687561035156	1576.8399658203125	243.5717315673828	NaN	1757.230224609375	249.59239196777344
55714.64	D6W196	SAL1	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1	17	mitochondrion,mitochondrial inner membrane	mitochondrial transport,ADP transport,ATP transport,transmembrane transport	ATP transmembrane transporter activity,ATP:ADP antiporter activity,calcium ion binding	100	11	12	10	14	13	13	12	12	12	12	13	13	12	13	11	11	10	12	12	13	13	11	12	11	11	14	12	12	12	14	14	14	13	13	13	13	13	10	13	10	13	14	13	13	12	14	13	13	869.4495849609375	1250.6690673828125	1175.5570068359375	1870.9248046875	1457.583984375	1539.291015625	1546.3497314453125	1430.3585205078125	1185.13818359375	1743.7808837890625	1347.839599609375	1471.064453125	1402.2025146484375	1582.122314453125	1188.493896484375	1205.2034912109375	1711.4805908203125	1647.0150146484375	1546.904541015625	1504.4033203125	1529.983154296875	1534.6112060546875	1933.9453125	1820.3775634765625	2187.9091796875	2098.044921875	1858.591552734375	1898.2274169921875	2104.44140625	2271.974365234375	2130.875	2358.915283203125	2162.729248046875	2173.04638671875	2142.541259765625	2036.0830078125	2248.340576171875	994.369873046875	2304.708740234375	1018.194580078125	2304.087890625	1892.212646484375	2132.2998046875	2033.2779541015625	2309.292236328125	2124.35400390625	1503.9920654296875	2072.905029296875
61849.77	O13297	CET1	mRNA-capping enzyme subunit beta	29	nucleus,mRNA cap methyltransferase complex	7-methylguanosine mRNA capping,positive regulation of transcription elongation from RNA polymerase II promoter,positive regulation of protein localization to nucleus	polynucleotide 5'-phosphatase activity,protein binding,hydrolase activity,Requires Ontology	100	21	22	21	18	23	22	21	23	22	18	23	22	22	23	20	21	22	24	22	23	19	21	23	26	22	22	22	20	23	24	25	23	18	22	23	20	25	23	24	25	20	22	22	21	21	24	24	22	4343.77490234375	4331.4580078125	3918.4619140625	4254.74755859375	4362.90869140625	4450.7216796875	4193.39501953125	4307.79541015625	3829.33056640625	4906.4599609375	4171.4521484375	4362.6611328125	4340.912109375	4396.09033203125	4265.8359375	3907.279052734375	4376.625	4450.84375	4267.98291015625	4443.9619140625	4258.82666015625	3969.08154296875	3991.1611328125	4381.10986328125	4859.43798828125	5010.62548828125	3914.666748046875	4397.38134765625	4676.49365234375	4884.0927734375	4230.7353515625	4566.49169921875	4064.995361328125	4880.2861328125	4787.88232421875	4897.4453125	4545.54833984375	4301.04345703125	4483.6533203125	4394.6474609375	3905.44189453125	4261.3984375	4708.18115234375	4110.9599609375	4558.0810546875	4862.03759765625	4665.52001953125	4403.9453125
65318.49	O13329	FOB1	DNA replication fork-blocking protein FOB1	18	nucleolus,rDNA heterochromatin	chromatin silencing at rDNA,DNA recombination,chromatin organization,chromosome segregation,negative regulation of DNA replication,replication fork arrest at rDNA repeats,protein localization to nucleolar rDNA repeats,maintenance of rDNA,maintenance of DNA repeat elements,positive regulation of DNA recombination,rDNA condensation	zinc ion binding,rDNA spacer replication fork barrier binding	100	12	13	11	9	12	12	11	11	11	10	11	11	12	13	12	13	11	10	10	13	12	8	9	10	8	12	8	11	10	9	10	12	11	10	11	8	10	15	12	15	14	12	12	12	11	14	13	12	4822.71923828125	3751.921142578125	4602.427734375	3578.705078125	4702.9013671875	4346.94873046875	4373.38720703125	4132.869140625	4527.73046875	4482.7939453125	4393.6103515625	4659.35888671875	4854.00537109375	4421.1025390625	3826.533203125	4548.85693359375	3923.83447265625	4790.79736328125	4269.93359375	4373.1201171875	4479.51513671875	3671.480712890625	3376.453857421875	3437.931396484375	3964.7041015625	3515.40869140625	2998.63720703125	3158.870849609375	4020.77978515625	3429.30810546875	3593.199462890625	3587.711669921875	3471.34716796875	3877.261474609375	3823.462890625	3743.94873046875	3461.36279296875	4819.30419921875	3277.31396484375	5017.990234375	4316.0537109375	3827.2080078125	4330.75830078125	4412.75537109375	4518.51123046875	4570.1298828125	5105.95068359375	4104.6005859375
22442.79	O13516	RPS9A	Small ribosomal subunit protein uS4A	14	nucleoplasm,nucleolus,cytoplasm,cytosol,small ribosomal subunit,cytosolic small ribosomal subunit,90S preribosome,small-subunit processome	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translation,ascospore wall assembly,ribosomal small subunit biogenesis	RNA binding,structural constituent of ribosome,protein binding,rRNA binding	100	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	306163.40625	378298.40625	242236.734375	267154.90625	377402.5	350702.78125	303263.25	347486.65625	235151.671875	208305.859375	346708.5	310090.9375	345994.3125	194221.265625	426117.28125	258107.625	142944.890625	342333.40625	355825.53125	359028.0625	234651.203125	419831.875	370797.9375	292042.15625	247084.921875	292780.46875	366459.5625	308425.59375	243928.171875	276420.59375	328493.09375	257582.796875	344378.96875	239096.890625	300172.6875	318279.46875	270127.40625	256207.40625	252754.53125	248619.078125	188443.578125	284088.5625	182660.359375	285753.3125	171787.484375	208011.4375	185798.34375	209974.671875
38627.16	O13525	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	12	mitochondrion,mitochondrial inner membrane,extrinsic component of mitochondrial inner membrane	ubiquinone biosynthetic process	molecular_function,zinc ion binding,carboxy-lyase activity,Requires Ontology	100	5	5	6	6	5	4	6	5	4	5	5	4	6	6	5	5	5	5	4	7	5	5	5	10	8	9	5	9	6	8	7	9	8	8	10	8	8	5	8	3	7	7	9	8	10	12	6	10	323.7010498046875	360.7660217285156	592.2774658203125	1323.281005859375	807.46630859375	672.4628295898438	665.2023315429688	326.7923889160156	663.1544799804688	1145.0340576171875	697.7168579101562	627.9917602539062	709.4229125976562	658.6013793945312	345.25372314453125	647.343017578125	1208.642822265625	724.1220703125	782.9620361328125	700.78857421875	822.3480834960938	1146.6527099609375	866.3287963867188	2175.742919921875	2875.203857421875	2637.2119140625	794.4160766601562	2306.02392578125	2723.130859375	2668.902099609375	796.3341064453125	2575.620361328125	2566.728271484375	2536.49169921875	2257.614990234375	2366.675537109375	2580.9443359375	389.0093994140625	2656.896240234375	350.2655944824219	2577.692138671875	1606.5396728515625	3204.3759765625	1835.67919921875	3076.922607421875	2959.33056640625	764.9679565429688	2963.455322265625
30299.25	O13539	THP2	THO complex subunit THP2	11	nucleus,THO complex part of transcription export complex,nucleoplasmic THO complex	DNA recombination,transcription elongation from RNA polymerase II promoter,mRNA export from nucleus,stress granule assembly,cellular response to azide	nucleic acid binding,protein binding	100	9	8	8	7	8	7	6	9	9	8	8	8	9	9	9	9	9	9	9	8	6	7	7	8	7	5	5	7	7	7	8	10	8	9	9	8	7	10	9	9	7	8	10	7	8	9	8	9	1582.1817626953125	1633.6129150390625	1865.80712890625	1686.35205078125	1753.9246826171875	1887.9342041015625	1886.0712890625	1536.2415771484375	2037.97900390625	2026.9766845703125	1925.2862548828125	1774.5445556640625	1836.56689453125	1776.2796630859375	1734.5968017578125	1744.6949462890625	2198.04052734375	1860.9884033203125	1706.963134765625	1953.9820556640625	1644.9384765625	1390.6119384765625	1413.2730712890625	1591.4959716796875	1835.174072265625	1661.0848388671875	1558.806640625	1621.0943603515625	1640.5982666015625	1494.72265625	1378.6619873046875	1394.25439453125	1482.7254638671875	1694.7998046875	1450.3182373046875	1679.70263671875	1333.900634765625	1675.7564697265625	1161.489501953125	1824.150634765625	1016.2017211914062	1472.5582275390625	1327.4246826171875	1446.6016845703125	1338.87060546875	1404.1182861328125	1567.7593994140625	1387.28515625
23268.09	O13547	CCW14	Covalently-linked cell wall protein 14	3	mitochondrion,fungal-type cell wall,membrane,cell periphery	fungal-type cell wall organization	structural constituent of cell wall	100	2	3	2	2	3	2	3	3	2	2	2	2	2	2	2	3	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	1475.8494873046875	1997.9100341796875	3497.990234375	11349.888671875	2663.439453125	2183.6953125	2380.756591796875	2109.736328125	2801.0859375	11839.3896484375	2716.534423828125	2276.00244140625	2385.871337890625	3054.756103515625	2438.418212890625	2820.45556640625	8977.74609375	2808.6025390625	2019.9083251953125	1892.3692626953125	3058.837890625	1315.96923828125	2327.034912109375	2773.528076171875	2226.008544921875	2249.064453125	2820.039306640625	2875.467041015625	2559.645751953125	1868.965087890625	2424.66845703125	1738.1123046875	3866.81591796875	2135.470947265625	2208.165771484375	2029.1678466796875	1909.032470703125	2146.8798828125	3126.894775390625	1488.718505859375	2600.99853515625	3053.30224609375	2176.322265625	2155.608154296875	2442.717041015625	1957.6727294921875	2991.34375	1861.53466796875
17902.05	O13563	RPN13	26S proteasome regulatory subunit RPN13	9	nucleus,cytoplasm,proteasome storage granule,proteasome regulatory particle, lid subcomplex	ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process	protein binding,ubiquitin binding	100	7	7	8	8	7	9	7	7	7	8	6	6	8	9	7	8	9	7	6	8	8	7	8	7	6	8	6	7	7	7	7	8	8	7	8	8	7	7	7	8	8	7	7	9	7	8	7	8	29570.740234375	28603.5859375	27767.09375	35386.6171875	25010.421875	26008.97265625	23143.43359375	26025.119140625	28217.5703125	41663.80859375	24692.9765625	24116.66015625	24303.541015625	27493.9609375	26294.181640625	27418.08984375	38333.2890625	23637.361328125	23838.4296875	25484.7890625	30578.1796875	29151.212890625	26099.08203125	26054.935546875	27825.603515625	27617.30078125	27958.41796875	29729	26750.732421875	28284.58203125	26336.87890625	26055.046875	30662.703125	25434.3984375	28231.884765625	27071.392578125	28484.60546875	23975.841796875	27926.734375	24655.138671875	32887.56640625	26500.48828125	25022.564453125	26770.1015625	25321.28125	25402.34375	32394.28515625	24117.33203125
